Nicola Montecchio,Nicola Montecchio,https://dblp.org/pid/94/7990,1.0
Swaroop Krothapalli,Swaroop Krothapalli,https://dblp.org/pid/221/3421,1.0
Michael Richard Plowman,,,0
Olivier Grisel,Olivier Grisel,https://dblp.org/pid/86/10824,1.0
Fabian Yamaguchi,Fabian Yamaguchi,https://dblp.org/pid/66/11094,1.0
Cara membuat,,,0
Andrew Ng,Andrew Y. Ng,https://dblp.org/pid/n/AndrewYNg,0.95
Deepak Agarwal,Deepak Agarwal,https://dblp.org/pid/11/5430,1.0
Xavier Amatriain,Xavier Amatriain,https://dblp.org/pid/99/6075,1.0
Oleh Anindya Khrisna Wardhani,,,0
Ali Hassan,Ali Hassan,https://dblp.org/pid/65/6722,1.0
Sandro Bimonte,Sandro Bimonte,https://dblp.org/pid/87/3974,1.0
Frank Kane,,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
George Furnas,George W. Furnas,https://dblp.org/pid/52/3166,0.9625
Susan Dumais,Susan T. Dumais,https://dblp.org/pid/d/SusanTDumais,0.96
Thomas Landauer,Thomas K. Landauer,https://dblp.org/pid/60/5110,0.9666666666666667
Karen Lochbaum,Karen E. Lochbaum,https://dblp.org/pid/79/2764,0.9647058823529411
Lynn Streeter,Lynn A. Streeter,https://dblp.org/pid/32/5128,0.9625
Richard Harshman,Richard A. Harshman,https://dblp.org/pid/59/2079,0.968421052631579
Scott Deerwester,Scott C. Deerwester,https://dblp.org/pid/12/553,0.968421052631579
Katja Hofmann,Katja Hofmann,https://dblp.org/pid/97/3500,1.0
Filip Radlinski,Filip Radlinski,https://dblp.org/pid/28/1966,1.0
Bio,Biodun S. Badmus,https://dblp.org/pid/154/3236,0.8104166666666667
Oliver Gindele,,,0
Ryan Henry,Ryan Henry,https://dblp.org/pid/86/8283,1.0
"Ryan Henry
Presented",,,0
Peter Kawinek,,,0
Yusuf Kurnia,Yusuf Kurniawan,https://dblp.org/pid/05/7513,0.96
Andrew Ng,Andrew Y. Ng,https://dblp.org/pid/n/AndrewYNg,0.95
Adam Warski,,,0
Rama Lama Ding Dong,,,0
Dong - Rocky Sharpe,,,0
Retrieval - Der Sputnikschock,,,0
"Ray Dog
Rama Lama Ding",,,0
Der Sputnikschock,,,0
Sarabjot Singh,Sarabjot Singh,https://dblp.org/pid/25/7912,1.0
Elisa R. Díaz,,,0
